id,publisher
doi_________::5425833b523ea99312dbe62360a960fd,Elsevier BV
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,IEEE
doi_________::57da457a8910961374d00f8d86b64550,Wiley
doi_________::5886cde8283d7a4eb66f9afcdea34284,arXiv
doi_________::58c3ba20c750294e09d37b0e3a2d2fe8,Zenodo
doi_________::5941d55c147ba1e56e3377f9d58b4445,Elsevier BV
doi_________::5a300ed0c02a4aa89182692b4b131562,arXiv
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,OpenAlex
doi_________::5cab5d4936c4c5a6ed86040549d57134,JSTOR
doi_________::5d09ec8f71b694b567c78fd84be17d60,Elsevier BV
doi_________::5d41b0fa6e0c4896d9ea583d72bb2d7f,JSTOR
doi_________::5dde083e7005c6e35502319b5debe3bf,Unknown
doi_________::5e3366569f6720d415b2c6ab99db69c9,American Diabetes Association
doi_________::5e6c7407fb151356bfda3b4ed3cb2e1f,Elsevier BV
doi_________::5ec484d0e4233962af818d5d9f6ce2ba,Jaypee Brothers Medical Publishers (P) Ltd.
doi_________::5fab1574312a8ecba167e4a046db6280,Journal of Al-Farahidi Arts
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,Springer International Publishing
doi_________::5fcdd6436ab7fbc2d37f4b7692509ccc,Edward Elgar Publishing
doi_________::5fd7bd63bc918558ffda1803bce12550,Universitas Hasyim Asy'ari Tebuireng Jombang
doi_________::603f3b4f7211d63b266f14b3e2c9147b,SPIE
doi_________::60f0fd7866e4007019af275d59ca072e,Elsevier BV
doi_________::617fe858de32f7d658975b2178eea145,Cambridge University Press (CUP)
doi_________::623a5b0fb5fabfaf256d2e16d1c5076e,Archaeology Data Service
doi_________::63596e61d6390df39bc49e7a0386318a,Universitas Muslim Indonesia
doi_________::6386942c976c1cd1467ee6c886cb61e8,Elsevier BV
doi_________::63d667349eeb5b935ec9b638109b3700,Wiley
doi_________::65131baedcf7234a0b13e76c074f80f1,Universitas Islam 45
doi_________::6516fa8223f25037be67184e6c4d3d99,Brill | Nijhoff
doi_________::651e8f184a7f003657fd648ca7892ea3,NAKALA - https://nakala.fr (Huma-Num - CNRS)
doi_________::658e9e081c5a68fc6b2df9018239fe6f,Elsevier BV
doi_________::65a0f439b234fb352e0eb3d5449176d2,Elsevier BV
doi_________::6636f2885fe47956980945ec19d558ed,Informa UK Limited
doi_________::66389bc3a0abc8f0ba6cb7d627962bc2,Elsevier BV
doi_________::664a81531e51269ce24cb06bda791e15,Not Available
doi_________::669fbec598ee7d3ababc17596f90fa97,Harvard University Press
doi_________::66d54b079c5c35bf90d60d6a1668cdd6,Jaypee Brothers Medical Publishers (P) Ltd.
doi_________::67a3c33d6902d67a1c66eeb020983abc,Kluwer Law International BV
doi_________::6a8c8ed3103461b5a87a0b363e0b0cbf,Japanese Society of Medical Instrumentation
doi_________::6aaa773d45a36f67d46af98affebd7f4,Oxford University Press (OUP)
doi_________::6aaaad58f900124fc807d3657a3cd487,Ovid Technologies (Wolters Kluwer Health)
doi_________::6b6139db9cc06cac6f214cebd30ea1a1,Elsevier BV
doi_________::6b93b09568df7f3fa9d444c207ff94c6,Institute of Electrical and Electronics Engineers (IEEE)
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Association for Information Systems
doi_________::710b8a2c0fd05fd2e0ecb785662eee6c,Springer Berlin Heidelberg
doi_________::7112084201dca60861c588c0da1d98d6,Springer Science and Business Media LLC
doi_________::71a62f95a09d78dd991c266f8be9f27d,Geological Curators Group
doi_________::72375d59c28f8b6d7b72676c95890fb8,Presses Universitaires de France
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,ACM
doi_________::7414998886640d20be7a341bf9517053,Oxford University Press (OUP)
doi_________::74ebca2085b7faa4bc9c57670e7533cd,Routledge
doi_________::7660de6349ae439c5e2613cdc4cb82a4,World Scientific Pub Co Pte Ltd
doi_________::76e451190eaf7d237047e3dcc9a40652,arXiv
doi_________::76fa1419a47ecabc4007e5603614a1dc,Ovid Technologies (Wolters Kluwer Health)
doi_________::7701460151ca07ced5612e49aaed18d9,DE GRUYTER SAUR
doi_________::771163f9f35670b2518fe2bdb82594be,Institute of Electrical and Electronics Engineers (IEEE)
doi_________::774cb7e306df4e3045e8b952f9b5a591,Surface Analysis Society of Japan
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,figshare
doi_________::7ea9cd7535dded719e63578b6fd5318c,DIE - German Institute for Adult Education
doi_________::80d9dde8f51ed54c115ec23affb272d9,OpenAlex
1287497f2a65::297f9979464bd22abe523457f0b1e698,Asociación Contubernio
1287497f2a65::c120d7d60f9065a3036586297f4f2e67,Universidad de Valladolid
1287497f2a65::d47f0458888e61219fc3509391f13206,Asociación Contubernio
78975075580c::25531c40e3a2ff7674243a8e1c1a80ab,The National College of Agriculture of Meknes (Morocco)
78975075580c::25b371e2dd601bc962367098486e0d0e,HTS Teologiese Studies / Theological Studies
78975075580c::6fa4f344893278849bbefbb80ebb84b3,"Department of General Linguistics, Stellenbosch University."
78975075580c::82e3490ec3c77e38b381f0d81daddb34,MultiCraft Limited
7f273ee0eb72::1a40e19117e4e4f53bc919519bc14dde,Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Nusa Cendana
RECOLECTA___::15a605a01c9d00c0f1ccb93be4eb4019,Revista Mexicana de Análisis Político y Administración Pública
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,SPRINGER HEIDELBERG
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,"European Society for Biomaterials (ESB) (Madrid, España)"
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,Wiley
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,Revista Espacios
RECOLECTA___::4b59d70ee4411305f50e1f50dc067f9f,Universitat de Barcelona
RECOLECTA___::504a55ebbdf0b6d6500cd9bb690dd0aa,"Universidad de Córdoba, Facultad de Filosofía y Letras, Departamento de Historia Moderna, Contemporánea y de América"
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,0218-1266
